City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Saint-Pierre,RE,80.6,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
477,Santiago Del Estero,AR,71.01,overcast clouds,-27.7951,-64.2615,Hotel Urbano
480,Baguer,PH,88.39,overcast clouds,7.2561,124.5042,Reyes Ancestral House
483,Mahibadhoo,MV,81.84,overcast clouds,3.7833,72.9667,Omadhoo Inn
487,Tsabong,BW,72.79,light rain,-26.0217,22.401,Springbok Motel
488,Cuamba,MZ,70.54,overcast clouds,-14.8031,36.5372,Hotel Vision
491,Panama City,PA,78.8,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
492,Florianopolis,BR,78.8,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
493,Sao Raimundo Das Mangabeiras,BR,74.91,clear sky,-7.0219,-45.4811,Hotel Tropical
496,Puerto Asis,CO,70.95,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
499,Almeirim,BR,76.28,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
501,San Pedro De Macoris,DO,73.99,few clouds,18.4616,-69.2972,Apartahotel Guaraguao
505,Ko Samui,TH,78.8,broken clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
506,Beloha,MG,77.13,scattered clouds,-25.1667,45.05,
507,Kisangani,CD,72.45,broken clouds,0.5167,25.2,Grand Ramela Hotel
510,Piacabucu,BR,77.25,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
515,Maues,BR,74.84,light rain,-3.3836,-57.7186,Hotel Miramar
516,Robertsport,LR,80.04,clear sky,6.7533,-11.3686,Kwepunha Retreat
517,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
518,Katobu,ID,86.16,moderate rain,-4.9408,122.5276,La Ode Husein
519,Kieta,PG,85.35,scattered clouds,-6.2167,155.6333,
526,Narasannapeta,IN,79.18,clear sky,18.4167,84.05,G.lingaraju home
528,Carutapera,BR,76.57,overcast clouds,-1.195,-46.02,Lidera
531,Ampanihy,MG,76.01,scattered clouds,-24.7,44.75,Angora Hotel
534,Camana,PE,70.3,overcast clouds,-16.6228,-72.7111,Hostal Morales
535,Buluang,PH,77.68,light rain,13.3068,123.3425,Enon Beach Resort
540,Gold Coast,AU,82.99,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
