City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Praia,CV,2021-01-13 04:25:16,14.9215,-23.5087,69.8,68,40,19.57,scattered clouds
188,Vanderhoof,CA,2021-01-13 04:25:17,54.0166,-124.0198,27.1,96,98,2.55,overcast clouds
189,Punta De Bombon,PE,2021-01-13 04:25:17,-17.1717,-71.7931,69.85,75,100,3.44,overcast clouds
190,Quelimane,MZ,2021-01-13 04:25:17,-17.8786,36.8883,78.6,91,97,1.32,light rain
191,Palmerston,AU,2021-01-13 04:23:04,-12.486,130.9833,95.0,58,40,6.91,scattered clouds
192,Dombarovskiy,RU,2021-01-13 04:25:17,50.7587,59.5386,-15.2,88,0,2.91,clear sky
193,Lagoa,PT,2021-01-13 04:25:18,39.05,-27.9833,59.81,83,0,8.84,clear sky
194,Mocuba,MZ,2021-01-13 04:25:18,-16.8392,36.9856,75.0,97,100,1.01,light rain
195,Hervey Bay,AU,2021-01-13 04:25:18,-25.2986,152.8535,80.01,68,28,7.0,scattered clouds
196,Omsukchan,RU,2021-01-13 04:25:18,62.5333,155.8,-16.74,87,100,3.38,overcast clouds
197,Maksatikha,RU,2021-01-13 04:25:19,57.797,35.8825,-6.05,91,100,8.59,overcast clouds
198,Akyab,MM,2021-01-13 04:25:19,20.15,92.9,74.59,49,13,4.65,few clouds
199,Sola,VU,2021-01-13 04:25:19,-13.8833,167.55,89.6,62,75,6.91,light rain
200,Mogadishu,SO,2021-01-13 04:22:48,2.0371,45.3438,75.7,81,0,19.3,clear sky
201,Nicoya,CR,2021-01-13 04:25:21,10.1483,-85.452,80.6,65,0,14.97,clear sky
202,Ancud,CL,2021-01-13 04:25:21,-41.8697,-73.8203,48.99,87,0,8.05,clear sky
203,Guthrie,US,2021-01-13 04:25:21,35.8789,-97.4253,39.0,80,1,6.91,clear sky
204,Chapais,CA,2021-01-13 04:25:22,49.7834,-74.8492,24.8,100,90,9.22,light snow
205,Ahipara,NZ,2021-01-13 04:25:22,-35.1667,173.1667,72.05,80,31,7.83,scattered clouds
206,Kommunar,RU,2021-01-13 04:25:22,59.6206,30.39,7.0,85,90,20.13,snow
207,Kudahuvadhoo,MV,2021-01-13 04:25:22,2.6708,72.8944,82.17,76,66,18.3,broken clouds
208,Port Blair,IN,2021-01-13 04:22:53,11.6667,92.75,84.2,65,75,6.91,broken clouds
209,Coihueco,CL,2021-01-13 04:25:23,-36.6167,-71.8333,60.8,44,25,6.91,scattered clouds
210,Homer,US,2021-01-13 04:25:23,59.6425,-151.5483,36.0,86,75,7.7,broken clouds
211,Matara,LK,2021-01-13 04:25:23,5.9485,80.5353,76.17,93,89,1.45,moderate rain
212,Fairbanks,US,2021-01-13 04:25:24,64.8378,-147.7164,-2.2,84,75,2.64,broken clouds
213,Coahuayana,MX,2021-01-13 04:25:24,18.7333,-103.6833,69.55,62,38,3.71,scattered clouds
214,Vanimo,PG,2021-01-13 04:25:24,-2.6741,141.3028,86.07,67,68,4.81,light rain
215,Karratha,AU,2021-01-13 04:25:24,-20.7377,116.8463,104.61,20,8,13.42,clear sky
216,Longyearbyen,SJ,2021-01-13 04:25:25,78.2186,15.6401,24.8,74,90,10.36,light snow
217,Fort Nelson,CA,2021-01-13 04:25:25,58.8053,-122.7002,14.0,85,40,2.3,scattered clouds
218,Roald,NO,2021-01-13 04:25:25,62.5833,6.1333,28.99,69,20,24.16,few clouds
219,Istisu,AZ,2021-01-13 04:25:25,40.9457,48.0738,41.0,93,90,4.61,mist
220,Codrington,AU,2021-01-13 04:25:25,-38.2667,141.9667,70.61,54,98,11.88,light rain
221,San Vicente,AR,2021-01-13 04:25:26,-26.6167,-54.1333,69.85,92,97,5.28,overcast clouds
222,Mount Gambier,AU,2021-01-13 04:25:26,-37.8333,140.7667,75.2,38,98,14.97,overcast clouds
223,Gizo,SB,2021-01-13 04:25:26,-8.103,156.8419,86.02,66,91,9.91,overcast clouds
224,Ous,RU,2021-01-13 04:25:26,60.9058,61.5186,-12.69,85,53,3.65,broken clouds
225,Cidreira,BR,2021-01-13 04:25:27,-30.1811,-50.2056,71.78,80,88,13.33,overcast clouds
226,Santa Vitoria Do Palmar,BR,2021-01-13 04:25:28,-33.5189,-53.3681,60.06,71,0,6.91,clear sky
227,La Ronge,CA,2021-01-13 04:25:28,55.1001,-105.2842,17.6,86,76,4.76,broken clouds
228,Beira,MZ,2021-01-13 04:25:28,-19.8436,34.8389,78.8,94,75,5.82,light rain
229,Bethel,US,2021-01-13 04:23:18,41.3712,-73.414,30.99,80,90,3.74,overcast clouds
230,Tarakan,ID,2021-01-13 04:25:07,3.3,117.6333,87.8,70,40,9.22,scattered clouds
231,Liwale,TZ,2021-01-13 04:25:29,-9.7667,37.9333,70.65,97,100,5.17,overcast clouds
232,Nyurba,RU,2021-01-13 04:25:29,63.2842,118.3319,-30.95,83,99,4.23,overcast clouds
233,Ballina,AU,2021-01-13 04:25:30,-28.8667,153.5667,80.6,54,40,12.66,scattered clouds
234,Cherskiy,RU,2021-01-13 04:25:30,68.75,161.3,-28.8,79,9,2.75,clear sky
235,Hami,CN,2021-01-13 04:25:30,42.8,93.45,23.14,75,75,4.18,broken clouds
236,Bintulu,MY,2021-01-13 04:25:30,3.1667,113.0333,87.8,74,40,4.61,scattered clouds
237,Kirakira,SB,2021-01-13 04:25:30,-10.4544,161.9205,80.22,76,100,4.5,overcast clouds
238,Bambous Virieux,MU,2021-01-13 04:25:31,-20.3428,57.7575,81.0,83,75,11.5,broken clouds
239,Roma,US,2021-01-13 04:25:13,43.2128,-75.4557,30.2,86,90,3.24,mist
240,Tiksi,RU,2021-01-13 04:25:31,71.6872,128.8694,-37.19,81,35,5.84,scattered clouds
241,Olafsvik,IS,2021-01-13 04:25:31,64.8945,-23.7142,38.64,76,100,24.05,overcast clouds
